ID_NCBA_BLOCK,ID_BLOCK_CODE,STATUS,surveyYear,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELKIN_NORTH-SE,36080C7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIZABETHTOWN_NORTH-SE,34078F5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGELHARD_NW-SE,35075F8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN-SE,35083B4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILK_HOPE-SE,35079G3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNUL-SE,35077C1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIR_GROVE-SE,35080G1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINGERVILLE_EAST-NW,35081B8NW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGELHARD_WEST-SE,35076E1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENKA-SE,35082E6SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENVILLE-SE,35083B2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIBSON-SE,34079G5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARNER-SE,35078F5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILER_CITY_NE-SE,35079F3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANDFATHER_MOUNTAIN-SE,36081A7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANITE_FALLS-SE,35081G4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELSON-SE,o36078E6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENSBORO-SE,36079A7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN_LEVEL-SE,35078G8SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENVILLE_NW-SE,35077F4SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROVER-CW,35081B4CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREYSTONE-SE,36082A6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERGREEN-SE,34078D8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENDALE_SPRINGS-SE,36081C4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBE-SE,36081A6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLADE_VALLEY-SE,36081D1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAYSON-SE,36081E6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENVILLE_SW-SE,35077E4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIFTON-SE,35077C4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENVILLE_NE-SE,35077F3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRISSOM-SE,36078A5SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARRINGTON-SE,35079G1SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINGERVILLE_WEST-NW,35082B1NW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOUR_OAKS_NE-SE,35078D3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRFIELD_NW-SE,35076F2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNSTON-SE,34078A1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORT_BARNWELL-SE,35077C3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREEMAN-SE,34078C3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOWERS-SE,35078F3SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HACKNEY-SE,35077D1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOLKSTONE-SE,34077E5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLINTON-SE,36078A4SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREMONT-SE,35077E8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROG_POND-SE,35080C3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOCHVILLE-SE,35080E6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
FONTANA_DAM-SE,35083D7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST_CITY-SE,35081C7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOUR_OAKS-SE,35078D4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSEX-SE,36077B8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMINGTON-SE,36080A5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUITLAND-SE,35082D4SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRMONT-SE,34079D1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALLING_CREEK-SE,35077C6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORT_LANDING-SE,35076H1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMVILLE-SE,35077E5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREELAND-SE,34078A5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUQUAY-VARINA-SE,35078E7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTONIA_NORTH-SE,35081C2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARDNERVILLE-SE,35077D3SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES-SE,36076E7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORETOWN-NE,34078A7NE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILREATH-SE,36081A1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINES_CREEK-SE,35082F8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRFIELD-CW,35076E2CW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALKLAND-SE,35077F5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAYETTEVILLE-SE,35078A8SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELEWS_CREEK-SE,36080B1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOOD-SE,35081E8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDSTON-SE,35079E3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROWNS_SUMMIT-SE,36079B6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTONIA_SOUTH-CW,35081B2CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATESVILLE-SE,36076D7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURELIAN_SPRINGS-SE,36077C7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARLAND-SE,34078G4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN_ALPINE-SE,35081F7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADDYSVILLE-NW,34079D2NW,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASBURG-SE,36077E8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIBSONVILLE-SE,36079A5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_SAND-SE,36078B2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASSY_CREEK-SE,36081E4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIMESLAND-SE,35077E2SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANDIN-SE,36081A4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN_ISLAND-CE,35075B7CE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREAT_ISLAND-NW,35076C3NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADNOT_CREEK-SE,34077G1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALIFAX-SE,36077C5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMLET-SE,34079H6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARLINGTON-SE,36077C6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMILTON-SE,35077H2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANTHAM-SE,35078C2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENVILLE_SE-SE,35077E3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENS_CREEK-SE,35083C3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-SE,36079A8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMPSTEAD-CW,34077C6CW,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANGING_ROCK-SE,36080D3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARRELLSVILLE-SE,36076C7SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMPSTEAD_OE_E-NW,34077C5NW,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARKERS_ISLAND-SE,34076F5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARRELLS-SE,34078F2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATTERAS-NW,35075B6NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZELWOOD-SE,35083D1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSON-SE,36078C4SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDDENITE-SE,35081H1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATTERAS_OE_N-CE,35075C6CE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARRISVILLE-SE,35079B7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARVEY_NECK-NW,36076A3NW,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HICKORY-SE,35081F3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARMONY-SE,35080H7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARRISBURG-SE,35080C6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWS_RUN-SE,34077F5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERTFORD-SE,36076B4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARTSEASE-SE,35077H6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELOCK-SE,34076H8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAYESVILLE-SE,35083A7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSONVILLE-SE,35082C4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEWITT-SE,35083C6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOBBSVILLE-SE,36076C5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOBGOOD-SE,36077A4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH_POINT_WEST-SE,35080H1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH_ROCK-SE,35080E2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHLANDS-SE,35083A2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORNSBORO-NW,34080G3NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEZ-SE,36078C1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE_MILLS-SE,34078H8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURDLE_MILLS-SE,36079C1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORSE_GAP-SE,36081C3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGLESIDE-SE,36078B3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSONVILLE_SOUTH-SE,34077F4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASON-SE,35077D7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASPER-SE,35077B2SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOFFMAN-SE,35079A5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH_POINT_EAST-SE,35079H8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOKE-SE,35076F7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSBOROUGH-SE,36079A1SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLISTER-SE,36077C8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGOLD-SE,34078G3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISABELLA-SE,35084A3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTDALE-SE,36082A3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLY_RIDGE-CE,34077D5CE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSON-SE,36077D4SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSONVILLE_NORTH-SE,34077G4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLDEN_BEACH-SE,33078H3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOT_SPRINGS-SE,35082H7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOWARD_REEF-SE,35075B8SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUBERT-SE,34077F2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONEY_ISLAND-SE,34078B3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORSEPEN_POINT-CW,34076F4CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORSE_SHOE-SE,35082C5SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSONVILLE_NE-SE,34077H3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSONVILLE_NW-SE,34077H4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMESVILLE-SE,35076G8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARVISBURG-CW,36075B7CW,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEFFERSON-SE,36081D4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENANSVILLE-SE,34077H8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS_CREEK-SE,35081H4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINSTON-SE,35077C5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUSTICE-SE,36078A2SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANNAPOLIS-SE,35080D6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOKERTON-SE,35077D5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLUM-SE,34077G3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENLY_WEST-SE,35078E2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONES_BAY-SE,35076B5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
KING-SE,36080C3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY-SE,34078D3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIPER_CREEK-SE,34078B4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
KITTY_HAWK-SE,36075A6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENLY_EAST-SE,35078E1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHN_H_KERR_DAM-SE,36078E3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHNS-SE,34079F4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAURINBURG-SE,34079G4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGGETTS_CROSSROADS-SE,35077F2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_WHEELER-SE,35078F6SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAWNDALE-SE,35081D5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME-SE,34078G6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERNERSVILLE-SE,36080A1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIMESVILLE-SE,35079H5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELFORD-SE,36077B2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
KITTRELL-SE,36078B4SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA_GRANGE-SE,35077C7SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNOTTS_ISLAND_OE_E-SW,36075E7SW,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_LURE-SE,35082D2SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_MICHIE-SE,36078B7SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBS_CORNER-SE,36076D2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_BRANDT-SE,36079B7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_NORMAN_NORTH-SE,35080E8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LELAND-SE,34078C1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_NORMAN_SOUTH-SE,35080D8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEASBURG-SE,36079D2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEONARDS_POINT-SE,35076H4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON_EAST-SE,35080G2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_BURLINGTON-SE,36079B4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURE_BEACH-CW,33077H8CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_WACCAMAW_WEST-SE,34078C5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUREL_SPRINGS-SE,36081D3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_TOXAWAY-SE,35082B8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDRUM-NW,35082B2NW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBSBURG-SE,36080E7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS_MOUNTAIN-CW,35081B3CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNIGHTDALE-SE,35078G4SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEICESTER-SE,35082F6SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_DRUMMOND_SE-SE,36076E3SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNOTTS_ISLAND-SE,36075E8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_WACCAMAW_EAST-SE,34078C4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE_DRUMMOND-SE,36076E4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENOIR-SE,35081H5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINVILLE_FALLS-SE,35081H8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLNTON_EAST-SE,35081D2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUFTEE_KNOB-SE,35083F2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWLAND-SE,35076C5SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_BAY-SE,34076H4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LILESVILLE-SE,34079H8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE_SWITZERLAND-SE,35082G1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMON_GAP-SE,35082G8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS_SWAMP-SE,34078B2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON_WEST-SE,35080G3SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWESVILLE-SE,35081D1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_SHOAL_POINT_OE_E-NW,35075E6NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOUISBURG-SE,36078A3SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE_FISHING_POINT-SE,35076B4SE,Incomplete,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGVIEW-SE,35081F4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LILLINGTON-SE,35078D7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY-SE,35079G5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLNTON_WEST-SE,35081D3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
GULL ISLAND-SE,35075D5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCKWOODS_FOLLY-CW,33078H2CW,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWSON_CROSSROADS-SE,36077B5SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCUST-SE,35080C4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONE_HICKORY-SE,36080A6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGUM-SE,35079A8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLE_SPRINGS-SE,36081B4SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANNS_HARBOR-SE,35075H7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSFIELD-CW,34076F7CW,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAMERS-SE,35078D8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOVEJOY-SE,35079D8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGS-NE,33078H6NE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACON-SE,36078D1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARION_WEST-SE,35082F1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARBLE-SE,35083B8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOBELIA-SE,35079B2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCAMA-SE,35078F1SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_SHOAL_POINT-NW,35075E7NW,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATTHEWS-SE,35080A6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLE_HILL_SW-SE,34077E6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYMAN-SE,34077G6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXTON-SE,34079F3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLETON-SE,36077D8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASONTOWN-SE,34076G8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYODAN-SE,36079D8SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIDEN-SE,35081E2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYNCHS_CORNER-SE,36076D4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONCURE-SE,35079E1SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANCHESTER-SE,35078B8SE,Complete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
